City,Cloudiness,Humidity,Latitude,Longitude,Temperature,Wind Speed
Ushuaia,75,100,-54.8,-68.3,33.8,33.33
Hermanus,0,96,-34.42,19.23,46.34,2.59
Dikson,20,100,73.51,80.55,-2.99,12.77
Takoradi,48,100,4.88,-1.76,79.91,8.08
Saint-Philippe,0,83,-21.36,55.77,74.35,6.93
Hithadhoo,76,100,-0.6,73.08,82.79,10.76
Jamestown,56,100,-15.94,-5.72,67.44,15.01
Qaanaaq,24,100,77.48,-69.36,-3.62,10.76
Port Alfred,0,99,-33.59,26.89,58.49,5.84
San Andres,20,70,12.58,-81.7,84.2,10.29
Pangody,48,74,65.85,74.49,-2.72,5.95
Fort-Shevchenko,64,100,44.51,50.26,45.53,21.83
Port-Gentil,90,88,-0.72,8.78,77.0,4.7
Saint-Augustin,68,100,51.23,-58.65,37.02,12.77
Klerksdorp,0,50,-26.85,26.67,45.44,3.27
Narsaq,56,62,60.92,-46.05,21.2,4.7
Kibondo,48,83,-3.59,30.72,60.38,4.05
Renigunta,48,96,13.65,79.52,74.19,2.93
Les Cayes,64,100,18.2,-73.75,78.51,7.63
Tasiilaq,0,52,65.61,-37.64,19.4,3.36
Longyearbyen,40,58,78.22,15.64,24.8,18.34
Bredasdorp,0,77,-34.53,20.04,60.8,2.24
Vila Velha,0,78,-20.33,-40.29,78.8,19.46
Umm Lajj,48,100,25.02,37.27,72.44,5.84
Uruguaiana,0,32,-29.75,-57.09,69.8,11.41
Upernavik,0,100,72.79,-56.15,7.28,11.21
Georgetown,68,100,-7.93,-14.42,75.05,16.02
La Rioja,0,44,-29.41,-66.85,67.58,4.16
Surt,12,100,31.21,16.59,62.27,8.75
Bilma,0,35,18.69,12.92,57.59,4.83
Saint-Joseph,0,83,-21.37,55.62,74.39,6.93
Lagoa,76,99,39.05,-27.98,67.31,20.27
Rio Gallegos,40,39,-51.62,-69.22,44.6,34.45
Mar del Plata,0,48,-38.0,-57.56,60.8,6.93
Cayeli,56,65,41.09,40.73,26.45,1.7
Viedma,36,28,-40.81,-63.0,67.31,10.76
Albany,80,92,-35.02,117.89,62.63,0.36
Kotelnikovo,92,95,47.63,43.15,43.32,10.76
Mushie,32,100,-3.02,16.9,71.67,2.82
Xuddur,0,50,4.12,43.89,60.83,4.61
Saint George,40,56,32.38,-64.68,68.0,6.93
Havre-Saint-Pierre,90,88,50.23,-63.6,32.0,6.93
San Rafael,0,17,-34.62,-68.33,69.83,4.72
Taltal,0,79,-25.4,-70.48,57.86,1.92
Killybegs,92,100,54.63,-8.45,44.09,3.71
Sar-e Pul,0,76,36.22,65.93,20.91,4.38
Qandala,76,100,11.47,49.87,68.03,4.5
Port Elizabeth,0,87,-33.92,25.57,57.2,4.7
Bambous Virieux,40,88,-20.34,57.76,75.2,4.7
Clyde River,40,75,70.47,-68.59,-16.61,4.7
Bayshore Gardens,1,68,27.43,-82.59,72.99,5.82
Bathsheba,40,78,13.22,-59.52,82.4,17.22
Marsa Matruh,0,82,31.35,27.25,55.4,6.93
Busselton,64,100,-33.65,115.33,61.86,4.5
Kachiry,76,90,53.07,76.1,26.76,10.42
Margate,0,87,-30.86,30.37,65.96,1.92
Mahebourg,40,88,-20.41,57.7,75.2,4.7
Danville,75,55,36.59,-79.4,61.93,8.05
Presidente Epitacio,88,98,-21.76,-52.12,71.36,2.26
Ous,88,90,60.91,61.52,23.57,5.17
Cape Town,0,93,-33.93,18.42,57.2,3.36
Salalah,0,65,17.02,54.09,78.8,4.7
Karpathos,68,68,35.51,27.21,66.2,11.41
Punta Arenas,56,100,-53.15,-70.92,39.95,34.69
Arrifes,40,82,37.77,-25.7,66.2,8.05
Sinnamary,76,93,5.38,-52.95,81.44,12.1
Klaksvik,32,69,62.23,-6.59,37.4,18.34
Veraval,0,80,20.9,70.37,71.22,17.58
Bhatkal,92,100,13.97,74.57,75.95,4.38
Saint-Pierre,75,100,46.77,-56.17,39.2,5.82
Arraial do Cabo,48,82,-22.97,-42.03,77.52,21.39
Hit,76,83,33.64,42.83,53.18,5.28
Adrar,0,35,27.87,-0.29,57.2,9.17
Victoria,40,88,-4.62,55.45,77.0,3.36
Wladyslawowo,40,93,54.79,18.4,35.6,11.41
Talas,80,64,38.69,35.55,37.4,1.12
Grand Gaube,40,88,-20.01,57.66,75.2,4.7
Conde,20,78,-7.26,-34.91,78.8,9.17
Miraflores,44,63,1.34,-71.95,83.78,3.38
Necochea,0,75,-38.55,-58.74,52.1,7.18
Limoges,0,80,45.83,1.26,39.2,5.82
Kruisfontein,0,95,-34.0,24.73,55.92,4.16
Silla,20,71,39.37,-0.42,51.8,8.05
Trebinje,0,54,42.71,18.34,51.15,5.82
Ribeira Grande,75,94,38.52,-28.7,68.0,10.29
Grajau,12,88,-5.82,-46.14,74.51,1.48
Kosh-Agach,20,49,50.0,88.67,-14.06,2.71
Kjopsvik,0,63,68.1,16.37,28.4,6.93
Mehamn,80,74,71.04,27.85,18.44,2.93
Jaque,68,99,7.52,-78.17,72.53,1.48
Nouadhibou,64,82,20.93,-17.03,68.0,10.29
Iqaluit,40,56,63.75,-68.51,12.2,16.11
Naruja,0,87,41.91,41.95,55.51,4.7
Doka,0,41,13.52,35.77,71.9,7.07
Ostrovnoy,80,89,68.05,39.51,24.2,5.39
Ilulissat,0,54,69.22,-51.1,-0.41,3.36
Bongandanga,64,98,1.5,21.05,70.86,2.37
Buraydah,20,37,26.33,43.98,68.0,3.15
Ponta do Sol,0,100,17.2,-25.09,76.13,13.56
Kavaratti,0,100,10.57,72.64,82.52,3.6
Kashi,0,71,39.45,75.98,32.0,8.95
Nanortalik,56,97,60.14,-45.24,28.74,35.03
Crisan,80,100,44.97,29.47,46.4,1.12
Manga,44,87,-14.76,-43.93,73.34,0.02
Velyka Bahachka,92,96,49.79,33.72,33.74,5.39
Torbay,90,93,47.67,-52.73,41.0,11.41
Souillac,40,88,-20.52,57.52,75.2,4.7
Marrakesh,0,58,31.63,-8.01,59.0,8.05
Namibe,0,100,-15.2,12.15,69.47,0.69
Sao Joao da Barra,0,73,-21.64,-41.05,77.0,25.28
Amudat,0,85,1.95,34.95,57.99,4.38
Kirkland Lake,90,100,48.14,-80.04,28.4,9.17
Tetouan,20,67,35.57,-5.37,60.4,16.11
Tobane,0,60,-21.95,27.9,65.42,11.77
Carnarvon,0,39,-30.97,22.13,42.47,2.82
Kargasok,64,83,59.06,80.86,21.41,6.06
Chirongui,76,88,-12.93,45.15,77.0,3.04
Honningsvag,20,100,70.98,25.97,25.77,3.04
Ilhabela,56,93,-23.78,-45.36,75.5,12.66
Hambantota,24,100,6.12,81.12,78.92,6.17
Tara,64,87,56.89,74.37,19.25,7.63
Livingstone,24,83,-17.84,25.85,63.35,3.38
Rudbar,0,80,30.15,62.6,32.66,4.72
Alta Floresta,8,91,-9.88,-56.09,77.93,1.92
Turayf,0,36,31.67,38.66,62.6,16.11
Lecce,20,93,40.36,18.17,56.62,9.17
Rawson,92,62,-43.3,-65.1,63.8,28.1
Pudozh,92,97,61.81,36.53,35.81,14.34
Dolores,0,48,-36.31,-57.68,54.21,6.62
Qasigiannguit,0,54,68.82,-51.19,-0.41,3.36
Omboue,80,100,-1.57,9.26,78.02,4.38
Hamilton,40,56,32.29,-64.78,68.0,6.93
Chuy,0,77,-33.7,-53.46,54.53,10.65
Severodvinsk,90,100,64.56,39.83,33.8,8.95
Pascagoula,90,88,30.37,-88.56,74.35,5.82
Omaruru,0,42,-21.43,15.93,59.3,3.6
Bhakkar,0,92,31.63,71.07,51.42,3.6
Boizenburg,75,93,53.38,10.72,37.89,13.87
Awbari,80,42,26.59,12.78,44.99,4.16
Kudahuvadhoo,92,100,2.67,72.89,82.97,6.4
Coquimbo,0,97,-29.95,-71.34,59.34,5.73
Marquette,90,86,46.54,-87.4,35.04,18.34
Cumra,32,86,37.57,32.77,39.2,2.93
Dalvik,40,85,65.97,-18.53,17.6,6.93
Hun,24,75,29.13,15.95,38.64,2.71
Saldanha,0,82,-33.01,17.94,57.2,1.12
Quatre Cocos,40,88,-20.21,57.76,75.2,4.7
Owando,92,100,-0.48,15.9,69.29,3.6
Aljezur,0,100,37.32,-8.8,59.12,5.95
Zinder,0,49,13.81,8.99,68.48,5.95
Aneho,40,88,6.23,1.6,82.4,10.29
Vestmannaeyjar,0,100,63.44,-20.27,24.47,6.4
Kikwit,32,92,-5.04,18.82,67.26,2.82
East London,0,100,-33.02,27.91,65.33,6.73
Wana,0,74,32.3,69.57,22.62,3.6
Iskateley,88,92,67.68,53.15,24.02,14.67
Sangueya,20,89,10.7,-14.37,71.72,2.59
Bonthe,8,96,7.53,-12.51,77.57,4.38
Sur,0,100,22.57,59.53,74.46,8.19
Oistins,40,78,13.07,-59.53,82.4,17.22
Bidar,0,77,17.9,77.55,67.89,3.6
Duvan,80,87,55.7,57.9,30.14,7.74
Keta,40,88,5.92,0.99,82.4,10.29
Sirjan,0,45,29.45,55.68,29.64,4.05
Andenes,56,100,69.31,16.12,32.0,10.29
Monrovia,40,94,6.3,-10.8,78.8,7.74
Inhambane,0,98,-23.86,35.38,69.83,9.75
Comodoro Rivadavia,75,71,-45.87,-67.5,55.4,18.34
Ortakoy,0,74,38.74,34.04,35.6,5.82
Kaduna,44,58,10.52,7.44,71.54,3.15
Arona,20,72,28.1,-16.68,64.9,17.22
Waddan,24,75,29.16,16.14,38.64,2.71
Serpukhov,75,86,54.92,37.41,34.72,6.71
Paita,0,71,-5.09,-81.11,69.92,9.53
Cidreira,0,88,-30.18,-50.21,64.88,5.5
Berlevag,80,100,70.86,29.09,31.71,3.49
Eatonton,90,64,33.33,-83.39,66.54,3.36
Puerto del Rosario,40,77,28.5,-13.86,68.0,14.99
Nuuk,8,67,64.18,-51.72,23.0,18.34
Barreirinhas,44,73,-2.75,-42.83,80.04,13.22
Tessalit,12,29,20.2,1.01,53.22,4.38
Jawhar,0,87,2.78,45.5,73.88,8.75
Isaka,0,53,-3.9,32.93,71.63,11.1
Mwense,100,34,-10.38,28.7,79.14,6.17
Esik,90,53,43.36,77.45,37.4,8.95
Luderitz,0,74,-26.65,15.16,56.01,11.77
Rajanpur,0,75,29.1,70.33,51.87,4.05
Vladyslavivka,64,100,45.17,35.37,47.15,1.25
Praia da Vitoria,75,94,38.73,-27.07,68.0,18.03
Wagar,0,52,16.15,36.2,65.37,2.71
Dogondoutchi,0,65,13.64,4.03,71.0,1.92
Taperoa,44,72,-7.21,-36.83,73.61,9.53
Kazerun,20,69,29.62,51.65,46.7,4.05
Rio Grande,0,81,-32.03,-52.1,62.27,21.72
Jacareacanga,44,92,-6.22,-57.75,77.66,2.26
Qatana,0,30,33.44,36.08,57.2,9.17
Tabou,92,100,4.42,-7.35,78.92,9.42
Stavern,20,86,59.0,10.03,33.8,13.87
Lucea,20,74,18.45,-78.17,82.4,9.17
Bengkulu,92,100,-3.8,102.27,74.33,3.6
Vrede,0,49,-27.43,29.17,38.51,2.26
Nikolayevka,68,93,53.13,47.2,31.17,8.08
Oktyabrskoye,0,75,43.06,44.74,29.46,2.82
Pizarro,80,97,4.95,-77.37,77.66,4.94
Butembo,56,99,0.15,29.28,58.85,0.69
Nambiyur,75,83,11.37,77.33,77.0,4.7
Marsh Harbour,12,100,26.54,-77.06,77.66,9.75
Goure,0,34,13.98,10.27,74.69,9.19
Jarwal,0,87,27.17,81.55,57.95,4.16
Nantucket,90,76,41.28,-70.1,52.47,9.17
Velikooktyabrskiy,76,90,57.43,33.82,30.05,11.43
Ibra,0,91,22.69,58.53,45.53,2.37
Havelock,1,82,34.88,-76.9,64.45,6.93
Richards Bay,0,79,-28.78,32.04,65.46,7.52
Peniche,0,93,39.36,-9.38,51.84,2.24
Paamiut,68,100,61.99,-49.67,31.62,7.74
Panjab,12,52,34.39,67.02,-11.27,2.04
Maniitsoq,0,100,65.42,-52.9,9.8,10.2
Vardo,88,100,70.37,31.11,37.92,9.64
Villafranca di Verona,0,93,45.35,10.84,37.4,3.36
Mianwali,0,92,32.57,71.53,48.99,3.27
Priekule,88,93,56.45,21.59,40.03,5.82
Pervomayskoye,8,97,43.92,46.71,41.75,2.93
Algiers,20,100,36.75,3.04,48.2,3.04
Uyutne,48,100,45.2,33.3,53.76,4.94
Booue,92,97,-0.09,11.94,73.29,1.7
Sao Francisco do Sul,92,100,-26.24,-48.64,73.16,5.95
Kantemirovka,88,95,49.71,39.86,34.1,7.63
Khairagarh,44,84,26.95,77.82,62.72,7.18
Vallenar,0,80,-28.57,-70.76,58.49,2.04
Zonguldak,12,96,41.25,31.83,46.43,0.81
Sao Jose da Coroa Grande,92,88,-8.9,-35.15,76.04,5.61
Washington,1,61,47.5,-120.5,42.03,9.17
Los Llanos de Aridane,0,73,28.66,-17.92,71.6,3.36
Ellesmere Port,75,75,53.28,-2.9,43.81,6.93
Tonota,0,56,-21.48,27.48,68.61,11.32
Leh,76,69,34.17,77.58,-3.84,1.36
Cochrane,20,44,51.18,-114.47,39.27,26.4
Logstor,92,95,56.96,9.26,46.11,27.98
Cap Malheureux,40,88,-19.98,57.61,75.2,4.7
Puerto Leguizamo,48,86,-0.19,-74.78,81.57,1.25
Kedrovoye,75,87,57.16,60.57,32.0,11.18
Sisimiut,0,100,66.94,-53.67,-9.74,4.61
Dingle,80,99,52.14,-10.27,52.28,4.94
Santa Vitoria do Palmar,0,77,-33.52,-53.37,54.53,10.65
Chivay,20,47,-15.64,-71.6,37.29,2.59
Maamba,56,74,-17.37,27.15,69.24,5.28
Salinas,90,83,-2.22,-80.97,71.6,12.75
Tendukheda,36,87,23.4,79.55,65.82,5.28
Kulhudhuffushi,48,100,6.62,73.07,80.99,1.25
Hofn,8,100,64.25,-15.21,33.24,9.98
Rabo de Peixe,40,82,37.8,-25.58,66.2,9.17
Anloga,40,88,5.79,0.9,82.4,10.29
Harper,80,100,4.38,-7.72,77.57,7.29
Thunder Bay,90,79,48.4,-89.32,23.0,8.05
Birjand,0,23,32.87,59.22,28.4,4.7
Muzhi,80,82,65.37,64.67,13.44,7.96
Aquidauana,80,99,-20.47,-55.79,70.37,4.83
Jeremie,56,100,18.65,-74.12,78.92,9.75
Pisco,0,73,-13.7,-76.22,69.8,17.22
Cumberland,90,81,41.97,-71.43,47.1,4.7
Usinsk,88,90,65.99,57.53,25.37,10.76
Marienburg,40,78,5.85,-55.02,82.4,5.82
Vuktyl,88,93,63.86,57.31,28.47,4.94
Rokytne,88,99,51.28,27.21,33.47,6.85
Dera Bugti,0,84,29.03,69.15,48.14,2.71
Loviisa,90,93,60.45,26.23,39.2,10.29
Tabas,0,70,33.6,56.92,31.85,3.6
Kasimov,88,99,54.94,41.4,33.02,10.98
Havoysund,8,100,71.0,24.66,24.8,3.36
Canutama,0,86,-6.53,-64.38,80.76,3.27
Termini Imerese,40,72,37.98,13.7,62.6,11.41
Gunjur,48,90,13.2,-16.73,81.66,11.43
Bandarbeyla,88,100,9.49,50.81,78.92,21.72
Tazovskiy,80,75,67.47,78.7,0.26,7.4
Mayumba,80,100,-3.43,10.66,76.62,8.86
Gambo,100,92,4.65,22.26,71.67,2.26
Tazmalt,40,93,36.39,4.4,51.8,10.29
Pelotas,0,81,-31.77,-52.34,62.27,21.72
Coihueco,0,60,-36.62,-71.83,60.65,12.66
Hualmay,0,83,-11.1,-77.61,63.17,4.94
Castro,12,92,-42.47,-73.77,48.95,8.75
Coihaique,0,41,-45.58,-72.07,43.37,7.4
La Trinite,0,83,14.74,-60.96,80.6,3.36
Kyabe,32,65,9.45,18.94,77.97,2.93
Santa Cruz del Sur,48,75,20.71,-78.0,78.29,12.1
Mikkeli,90,93,61.67,27.25,39.2,4.7
Talcahuano,0,90,-36.72,-73.12,57.32,21.94
Medea,20,93,36.26,2.75,48.2,2.24
Thurso,24,100,58.59,-3.53,41.95,21.92
Wilmington,1,77,34.23,-77.94,66.2,9.17
Acarau,0,81,-2.89,-40.12,77.21,13.67
Cockburn Town,56,100,21.46,-71.14,80.27,19.82
El Cope,12,97,8.62,-80.6,76.71,3.71
Umm Kaddadah,0,48,13.6,26.69,63.66,2.26
Benguela,20,100,-12.58,13.41,69.92,4.38
Porto Novo,40,78,17.02,-25.06,75.2,17.22
Pangnirtung,0,82,66.15,-65.71,-1.64,6.17
Sao Filipe,0,100,14.9,-24.5,77.07,10.98
Lima,64,62,-12.04,-77.03,61.73,2.26
Sarankhola,0,99,22.31,89.79,70.19,2.82
Chicama,75,82,-7.84,-79.15,66.2,11.41
Neyshabur,0,77,36.21,58.8,24.02,4.16
Caala,44,95,-12.85,15.56,57.36,2.37
Mitu,12,80,1.2,-70.17,82.34,2.71
Trairi,0,99,-3.28,-39.27,80.49,17.69
Zhanaozen,36,69,43.3,52.8,36.44,14.79
Victoria,0,21,-32.62,-60.15,71.6,10.29
Diffa,0,33,13.32,12.61,73.74,10.76
Verkhnyaya Inta,64,77,65.98,60.31,16.1,4.94
Grindavik,75,100,63.84,-22.43,30.9,4.7
Atbasar,80,87,51.8,68.33,25.14,9.64
Piacabucu,0,82,-10.41,-36.43,74.82,8.63
Laguna,68,97,-28.48,-48.78,69.56,10.42
Finnsnes,0,91,69.23,17.98,13.17,2.15
Talnakh,0,73,69.49,88.4,-24.68,3.04
Boueni,76,88,-12.9,45.08,77.0,3.04
Bahawalpur,0,86,29.4,71.68,54.08,2.93
Karlskrona,12,93,56.16,15.59,39.2,6.93
Ambilobe,0,88,-13.2,49.05,66.77,3.71
Koulikoro,0,42,12.86,-7.56,66.2,4.7
Bubaque,0,69,11.28,-15.83,77.0,4.7
Aswan,0,47,24.09,32.91,75.2,6.93
Halifax,75,86,44.65,-63.57,33.8,11.41
Pyrzyce,90,86,53.15,14.89,39.2,11.41
Grootfontein,0,31,-19.57,18.12,57.14,6.4
Bayan,0,67,29.3,48.05,62.6,3.36
Sarakhs,0,72,36.54,61.16,31.62,2.59
Macamic,90,100,48.75,-79.0,24.8,3.36
Mashhad,0,69,36.3,59.61,37.4,2.71
Rabat,0,81,33.99,-6.84,48.2,1.12
Condado,20,74,21.88,-79.84,78.66,6.93
Rock Hill,75,63,34.92,-81.03,62.78,5.82
Laagri,90,86,59.35,24.61,39.2,14.99
Narodychi,92,99,51.2,29.08,32.75,3.49
Caravelas,56,97,-17.71,-39.25,78.06,18.25
Nouakchott,0,92,18.09,-15.98,77.03,14.79
Yazd,0,24,31.9,54.37,46.4,4.7
Chinsali,8,57,-10.54,32.08,71.63,10.65
Acari,0,72,-15.43,-74.62,60.2,1.59
Paragominas,32,85,-2.97,-47.48,76.49,7.18
Dudinka,8,67,69.41,86.18,-14.78,6.17
Atar,0,31,20.52,-13.05,57.59,5.17
Daura,0,49,11.55,11.41,68.84,4.72
Pushkino,90,94,56.02,37.87,34.68,6.71
Nagorsk,44,92,59.32,50.81,29.06,12.55
Chik,75,95,54.99,82.43,32.0,13.42
Abha,0,71,18.22,42.51,53.6,2.82
Asosa,12,83,10.07,34.53,60.65,3.04
Buta,32,99,2.79,24.73,69.69,2.15
Washington,1,61,47.5,-120.5,42.03,9.17
Walvis Bay,0,100,-22.96,14.51,59.07,9.31
Iralaya,20,69,15.0,-83.23,82.4,2.24
Yantzaza,64,95,-3.83,-78.76,65.78,1.14
Wilmington,1,77,34.23,-77.94,66.2,9.17
Port Jervis,90,93,41.38,-74.69,40.01,6.73
Feodosiya,64,100,45.03,35.38,47.15,1.25
Carnarvon,0,99,-24.87,113.63,68.93,11.65
Qarqin,0,72,37.42,66.04,30.72,2.82
Englewood,1,15,39.65,-104.99,45.79,1.92
Nicoya,20,52,10.15,-85.45,87.8,4.7
Ngama,0,39,11.78,17.17,70.19,6.96
Tubuala,40,66,9.52,-79.03,86.0,10.29
Mana,0,75,5.66,-53.78,79.46,4.94
Merritt Island,1,57,28.54,-80.67,75.42,5.82
Horni Briza,90,93,49.84,13.36,32.0,12.75
Tamandare,92,88,-8.76,-35.1,76.04,5.61
Copiapo,0,79,-27.37,-70.33,59.34,2.04
Antofagasta,0,78,-23.65,-70.4,59.79,2.71
Derzhavinsk,56,84,51.1,66.32,19.56,10.76
Najran,0,37,17.49,44.13,55.4,2.48
Kaliganj,24,93,23.41,89.14,68.75,2.93
Vagay,88,91,57.94,69.02,22.49,6.06
Oranjemund,0,95,-28.55,16.43,60.47,15.46
Panama City,1,78,30.16,-85.66,72.57,11.41
Parichha,92,73,25.52,78.75,63.53,3.71
Kurchum,36,82,48.57,83.65,32.16,15.79
Milford,90,76,41.22,-73.06,50.68,11.41
Volot,88,91,57.93,30.7,35.09,7.74
Brasilia de Minas,20,92,-16.21,-44.43,68.93,3.15
Santa Lucia,40,61,-2.18,-80.0,80.6,11.41
San Cristobal,20,60,-0.9,-89.62,73.4,11.41
Torrelavega,8,100,43.35,-4.05,46.4,2.48
Lebu,88,99,-37.62,-73.65,55.47,10.54
San Juan,0,30,-31.54,-68.54,63.98,4.61
Mezen,88,87,65.85,44.24,33.38,6.73
West Bay,20,78,19.37,-81.42,82.4,14.99
Qom,0,83,34.64,50.88,42.11,5.61
Qorveh,8,66,35.17,47.8,22.85,2.93
Jizan,0,69,16.89,42.55,80.6,6.93
Mut,20,77,36.64,33.44,36.66,1.92
Sars,88,90,56.55,57.14,30.36,7.29
Port-Cartier,75,80,50.03,-66.87,30.2,5.82
Formosa,0,40,-26.18,-58.18,73.4,5.82
Pavlovo,90,80,55.97,43.09,35.6,4.47
Arrecife,75,77,28.96,-13.55,68.0,11.41
Sorland,80,100,67.67,12.69,41.07,13.67
Barranca,32,98,-10.75,-77.77,63.12,11.21
Suslovo,88,90,56.22,88.12,30.32,8.75
Akranes,75,100,64.32,-22.07,31.03,4.7
Lodingen,0,63,68.41,16.0,28.4,6.93
Inyonga,20,42,-6.72,32.07,71.72,7.18
Bosobolo,64,94,4.18,19.9,70.82,3.04
Ariquemes,0,87,-9.91,-63.04,78.51,2.15
Novovarshavka,68,90,54.17,74.69,22.76,9.08
Biltine,0,29,14.53,20.92,68.84,7.96
Ugoofaaru,88,100,5.67,73.0,82.34,1.81
Shache,0,73,38.42,77.24,20.37,3.04
Noormarkku,68,93,61.59,21.87,37.4,4.7
Desaguadero,0,29,-16.57,-69.04,49.22,5.73
Hobyo,0,81,5.35,48.53,77.39,17.81
Leshukonskoye,88,81,64.9,45.76,33.06,7.96
Jijiga,0,90,9.35,42.8,35.99,2.26
Polunochnoye,0,72,60.87,60.42,17.72,7.96
Vila Franca do Campo,40,82,37.72,-25.43,66.2,9.17
Gbarnga,44,98,7.0,-9.47,71.45,4.27
Ozieri,0,93,40.59,9.0,45.48,1.12
Yar-Sale,80,97,66.83,70.83,12.86,8.63
Araouane,12,24,18.9,-3.53,55.56,7.29
Envira,8,89,-7.3,-70.22,78.06,1.7
Olinda,75,78,-8.01,-34.86,78.8,8.05
Lobatse,8,24,-25.22,25.67,59.0,4.7
Chopda,0,75,21.25,75.3,60.06,6.06
Kutum,12,38,14.2,24.67,65.82,5.84
Miquelon,75,100,47.1,-56.38,39.2,5.82
Soure,76,84,-0.72,-48.52,81.12,10.76
Nalut,0,84,31.87,10.98,41.03,1.7
Filadelfia,0,83,-22.35,-60.03,68.84,14.79
Touros,0,86,-5.2,-35.46,77.12,10.76
Machinga,92,94,-15.17,35.3,71.54,6.4
Kidal,36,36,18.44,1.41,60.69,4.94
Stornoway,80,93,58.21,-6.39,39.2,9.17
Muisne,20,82,0.6,-80.03,73.25,5.61
Severnyy-Kospashskiy,88,89,59.09,57.8,29.6,11.88
Danielskuil,0,59,-28.19,23.54,44.76,1.7
Pedernales,40,78,18.04,-71.74,82.4,11.41
Moissala,68,81,8.34,17.77,75.23,3.38
Benicarlo,0,100,40.42,0.43,60.47,2.59
Praia,40,73,14.92,-23.51,77.0,11.41
Corinto,20,51,12.48,-87.17,84.2,6.93
Geraldton,90,92,49.73,-86.95,17.6,3.36
Khartoum,0,21,15.55,32.53,80.6,4.7
Axim,36,100,4.87,-2.24,80.63,9.98
Manono,12,87,-7.3,27.42,69.06,3.04
Poquoson,1,63,37.12,-76.35,62.19,13.87
Fomboni,64,100,-12.28,43.74,80.22,7.74
Bondo,56,94,3.81,23.69,71.99,1.03
Ustyuzhna,56,89,58.84,36.43,32.12,8.75
Aksarka,76,86,66.56,67.8,15.47,3.83
Monchique,0,93,37.32,-8.56,53.6,4.7
Gouyave,20,88,12.16,-61.73,82.4,18.34
Puerto Ayora,20,50,-0.74,-90.35,78.8,8.05
Maragogi,92,88,-9.01,-35.22,76.04,5.61
Shahreza,12,81,32.03,51.88,19.92,3.15
Bhongir,40,94,17.51,78.89,71.6,3.36
Ratnagiri,76,94,16.98,73.3,81.26,12.44
Kibre Mengist,0,89,5.88,38.98,47.46,2.59
Sainte-Maxime,0,86,43.3,6.63,45.14,4.61
Kamenka,92,96,51.32,42.77,32.03,9.75
Moshi,20,78,-3.35,37.33,73.4,13.87
Boa Vista,20,55,2.82,-60.67,87.8,17.22
Rutana,44,86,-3.93,29.99,59.66,5.28
Gornopravdinsk,80,87,60.05,69.9,20.24,6.06
Banda,12,76,25.48,80.33,64.43,5.17
Manoel Urbano,0,85,-8.84,-69.26,79.91,2.37
Lyubar,92,100,49.92,27.76,33.65,4.72
Kincardine,92,100,44.18,-81.63,43.73,21.16
Lucapa,44,98,-8.42,20.74,67.62,2.71
Abrau-Dyurso,64,93,44.69,37.59,50.0,4.47
Kousseri,0,42,12.08,15.03,72.21,8.52
Cancun,75,78,21.17,-86.85,78.8,3.36
Lac-Megantic,90,55,45.58,-70.88,33.57,8.05
Ayagoz,88,77,47.97,80.44,31.22,19.15
Tarko-Sale,76,82,64.92,77.78,1.25,6.4
Gumdag,0,85,39.21,54.59,45.21,13.33
Labranzagrande,20,93,5.56,-72.58,65.37,1.92
Mtwara,20,94,-10.27,40.18,75.2,4.38
Pimentel,20,68,-6.84,-79.93,69.8,19.46
Barcelos,8,82,-0.97,-62.92,80.99,3.38
Brae,68,65,60.4,-1.35,43.57,21.92
Kamskiye Polyany,90,94,55.43,51.42,32.0,17.9
Rocha,0,58,-34.48,-54.33,50.48,6.51
Taoudenni,0,27,22.68,-3.98,52.64,6.96
Kharan,0,78,28.58,65.42,37.43,3.38
Santa Rosa,0,70,-27.87,-54.48,61.19,9.08
Camacha,40,68,33.08,-16.33,65.41,10.29
Sulya,75,94,12.57,75.38,77.0,3.36
Saint-Pierre,0,83,-21.34,55.48,74.41,6.93
Parabel,64,85,58.7,81.48,20.91,7.85
Cayenne,20,83,4.93,-52.33,80.6,3.36
Moscow,90,94,55.75,37.62,34.7,6.71
Mahibadhoo,88,100,3.78,72.97,82.52,2.71
Matara,12,100,5.95,80.54,75.09,3.6
Paralimni,0,67,35.04,33.98,59.76,5.82
Abu Dhabi,0,60,24.47,54.37,73.4,2.24
Ormond Beach,5,64,29.29,-81.06,71.62,6.85
Sinazongwe,48,87,-17.26,27.46,72.44,6.96
Diamantino,36,93,-14.41,-56.45,74.91,5.28
Thinadhoo,88,100,0.53,72.93,83.06,9.19
Fundao,0,76,40.14,-7.5,35.67,5.17
